,Total Return,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Num Observations
Regime Strategy,2045.9%,15.8%,14.9%,1.05,1.34,-27.5%,5277
Equal Weight,376.2%,7.7%,9.7%,0.80,1.09,-24.0%,5278
Buy & Hold SPY,479.8%,8.8%,19.1%,0.46,0.55,-59.6%,5278
